network,policy,n,objective_mean,objective_ci95,loss_mean_mean,loss_mean_ci95,avg_bandwidth_mean,avg_bandwidth_ci95,bandwidth_saving_vs_b3_pct_mean,bandwidth_saving_vs_b3_pct_ci95,missed_pct_mean,missed_pct_ci95,false_alarm_pct_mean,false_alarm_pct_ci95,precision_mean,precision_ci95,recall_mean,recall_ci95,f1_mean,f1_ci95,avg_aoi_mean,avg_aoi_ci95,max_aoi_mean,max_aoi_ci95,fairness_mean,fairness_ci95,packet_success_pct_mean,packet_success_pct_ci95,constraint_violation_pct_mean,constraint_violation_pct_ci95,switching_rate_pct_mean,switching_rate_pct_ci95,recovery_aoi_mean,recovery_aoi_ci95
burst,fixed_b1,320,0.19037547964631304,0.0030746728762496315,0.10618691608274933,0.003513538703011848,1.0,0.0,66.66666666666677,0.0,2.0520628235817546,0.1019665087149667,8.442346178247046,0.31119077086575575,0.9491938768689122,0.0020739905826855486,0.979479371764184,0.0010196650871496676,0.9640618593887764,0.0015298479652098005,2.945904237570904,0.14906277641783813,55.878125,4.241352261787708,0.9843113984556522,0.0013525799467427545,85.75575575575581,0.2145597253609495,2.0520628235817546,0.1019665087149667,0.0,0.0,8.377666065072933,0.4673053968047522
burst,fixed_b2,320,0.16530163301322154,0.0024319217526478395,0.06727047685706537,0.0026297900321479426,2.0,0.0,33.333333333333385,0.0,1.3455237624005127,0.07797262511572654,5.938103103916687,0.22576064812779453,0.9641206382417347,0.0015457159270047202,0.9865447623759938,0.0007797262511572661,0.9751847349204688,0.0011460124621279748,1.202077077077077,0.07164229714332633,30.346875,3.0100822039537674,0.9860540442640302,0.001378915485067009,85.75825825825832,0.15402815525463281,1.3455237624005127,0.07797262511572654,0.0,0.0,3.3289828232065135,0.21981940480381304
burst,fixed_b3,320,0.15189368404863202,0.0011512710007956122,0.028950662902485817,0.001147906477210938,3.0,0.0,0.0,0.0,0.31357375892447764,0.023803281839977736,4.918798890931645,0.18304569471238538,0.9701095995757159,0.0013882255553357584,0.9968642624107558,0.0002380328183997776,0.9832703569702448,0.0007948145010108475,0.19620140974307626,0.001958590169153625,6.165625,0.11578332928247288,1.0,0.0,86.08942275608939,0.08775612176000858,0.31357375892447764,0.023803281839977736,0.0,0.0,0.0,0.0
burst,aoi_adaptive,320,0.16430046192025366,0.0031717561832886785,0.09071115386219555,0.003294413323462665,1.2814720970970979,0.004995000286517431,57.2842634300967,0.16650000955058103,1.8940814791650662,0.09714929204420988,6.736513068484238,0.2477771750512659,0.9590718993824696,0.0017434676745411144,0.9810591852083487,0.000971492920442099,0.9699207460887338,0.0013424841991292187,1.488694944944945,0.010170518015196346,13.684375,0.260060567513551,0.9839468543309693,0.0012467910217970244,85.78784387178477,0.19120453288870137,1.8940814791650662,0.09714929204420988,31.885333166332675,0.3023256799514443,3.1105566301705876,0.04102887840229849
burst,risk_adaptive,320,0.16562613394644654,0.0022907731739100065,0.061738496308808774,0.002518479257654819,2.26551551551552,0.026344119028308695,24.482816149482815,0.8781373009436232,1.228047064394141,0.07537005367044732,5.114084453371843,0.19026928941981128,0.9686125561151139,0.0014523166990279856,0.9877195293560567,0.0007537005367044738,0.9780541835536554,0.0010717974511054746,0.8844678011344674,0.037821265998099415,19.021875,1.3793266913332651,0.9955149507136719,0.0009254601273611032,85.93689013723255,0.13837400877127917,1.228047064394141,0.07537005367044732,5.066382765531055,0.15384264590369554,1.5871771145610991,0.10856417894051865
burst,burst_adaptive,320,0.18086641785014185,0.0029375785849654035,0.10071606437166333,0.003315507139131987,1.0702202202202202,0.002063074455361764,64.325992659326,0.06876914851205887,2.007069666250931,0.09706539403047029,7.897617673183293,0.2743675361461293,0.9520154862888809,0.0019617321929692854,0.9799293033374914,0.0009706539403047031,0.965738693480831,0.0014506430960304715,2.4894363113113114,0.11809467611228407,47.253125,3.7124703496633744,0.9849753327517352,0.001268812692986207,85.71285004140466,0.21345061552519515,2.007069666250931,0.09706539403047029,5.4458917835671325,0.12358880680734231,6.064188631449953,0.3615381127050182
burst,max_aoi,320,0.14276207457457452,0.001947396427685898,0.05422453703703699,0.001943294557596024,2.0,0.0,33.333333333333385,0.0,1.0133788526148015,0.05194737999593799,5.235511942802499,0.19454583879282286,0.9678756096674697,0.0015239904971956473,0.9898662114738522,0.0005194737999593801,0.9787191138060785,0.0010046996285174917,0.5691691691691697,0.003805847665423046,7.8,0.19196473030286262,0.9352938477532053,0.00042892504771818957,85.75825825825832,0.15402815525463281,1.0133788526148015,0.05194737999593799,0.0,0.0,1.1913879726159688,0.004650460239639997
burst,max_risk,320,0.27087882218155657,0.0035415787311275683,0.09071468929867364,0.0029563789335791835,2.0,0.0,33.333333333333385,0.0,1.5204542686114004,0.0932038271623017,7.966568401155406,0.35455183168359605,0.9533051322590065,0.002114229245469268,0.984795457313885,0.0009320382716230164,0.9687465284678144,0.0014925574382072648,6.6776088588588625,0.3107429966412669,108.76875,3.52733691603734,0.9681794667408381,0.002373201009853523,85.75825825825832,0.15402815525463281,1.5204542686114004,0.0932038271623017,0.0,0.0,19.726751173649088,0.9431319267282038
burst,voi_b2,320,0.14521843001856022,0.001995637667070949,0.055137380218760426,0.002049467897978951,2.0,0.0,33.333333333333385,0.0,1.064868310156362,0.05680009232513435,5.104679116959877,0.19139291333580738,0.9686874868965015,0.0014812461826738121,0.9893513168984356,0.0005680009232513435,0.9788862847868783,0.0010071173939456308,0.67206998665332,0.010872715504388855,12.709375,1.0168255852008463,0.9730252816081251,0.001204442929669516,85.75825825825832,0.15402815525463281,1.064868310156362,0.05680009232513435,0.0,0.0,1.6816837838960932,0.034894375080320825
burst,event_triggered,320,0.19345009136740893,0.003232828353441645,0.09291206897001168,0.0032599742771074595,2.147075200200198,0.02893677799164791,28.43082665999332,0.9645592663882635,2.199366506764603,0.1091864433066997,5.398082137352364,0.197623846892962,0.9663429203579638,0.0016423301045467675,0.9780063349323553,0.0010918644330669975,0.9721267086668121,0.0013460019090181154,0.9770009592926268,0.027862544083454455,9.25,0.16369135265544504,0.9902003788234796,0.0009003390820199741,85.91097522122884,0.1446605891011894,2.199366506764603,0.1091864433066997,15.071705911823651,0.4927486759849661,1.3072745114613604,0.05942836586070839
