network,metric,baseline,n,target_mean,baseline_mean,delta_mean,ci95,wilcoxon_W,p_raw,p_holm,effect_r,wins,losses,ties
severe_burst,loss_mean,rabs_l,320,0.08309486244056555,0.0932716244890724,-0.010176762048506842,0.0011830102040555738,4528.0,2.4027772712880847e-37,4.805554542576169e-37,0.7138805496882349,263,57,0
severe_burst,loss_mean,oracle_b,320,0.08309486244056555,0.04715526072947949,0.03593960171108607,0.0018594816033607664,30.0,4.3197006174716136e-54,1.2959101852414841e-53,-0.8656881665801448,2,318,0
severe_burst,missed_pct,fixed_b3,320,1.8037177742669563,0.6515029639016818,1.1522148103652743,0.07211442793599637,0.0,4.74582937439516e-54,1.4237488123185482e-53,-0.865349885237474,0,319,1
severe_burst,missed_pct,rabs_h,320,1.8037177742669563,1.5016604199292949,0.3020573543376611,0.03815424652416912,3716.0,6.7613861390688245e-37,1.3522772278137649e-36,-0.7093647572079442,40,264,16
severe_burst,missed_pct,rabs_l,320,1.8037177742669563,2.0871516040531812,-0.2834338297862252,0.035742033811255576,3895.5,1.9847936121481452e-35,1.9847936121481452e-35,0.6944121715532622,254,46,20
severe_burst,missed_pct,oracle_b,320,1.8037177742669563,0.5986706349891998,1.2050471392777564,0.0715503210995086,0.0,4.7456193004914605e-54,1.8982477201965842e-53,-0.8653500444341455,0,319,1
severe_burst,avg_bandwidth,fixed_b3,320,1.5389232982982983,3.0,-1.4610767017017017,0.0023889938217034105,0.0,3.2240013398503164e-54,1.2896005359401266e-53,0.8667392902909082,320,0,0
severe_burst,avg_bandwidth,rabs_h,320,1.5389232982982983,2.266147397397398,-0.727224099099099,0.02423432432277426,0.0,3.2580605181577224e-54,3.2580605181577224e-54,0.8667015558661114,320,0,0
severe_burst,avg_bandwidth,rabs_l,320,1.5389232982982983,1.1726413913913913,0.3662819069069069,0.002976766844537805,0.0,3.247471823617082e-54,9.742415470851246e-54,-0.8667132449150788,0,320,0
severe_burst,avg_bandwidth,oracle_b,320,1.5389232982982983,1.1844094094094095,0.3545138888888889,0.004814728109484108,0.0,3.2517962142533523e-54,6.503592428506705e-54,-0.8667084665642629,0,320,0
severe_burst,avg_aoi,fixed_b3,320,1.4650035452118786,0.5641151568234901,0.9008883883883886,0.008028621924423517,0.0,3.2583292533739783e-54,1.3033317013495913e-53,-0.8667012596970275,0,320,0
severe_burst,avg_aoi,rabs_h,320,1.4650035452118786,1.2217592592592592,0.24324428595261932,0.025222663464610794,3903.5,2.809247994755168e-39,2.809247994755168e-39,-0.7329855261629883,51,268,1
severe_burst,avg_aoi,rabs_l,320,1.4650035452118786,2.138944152485819,-0.6739406072739407,0.013399705863344028,0.0,3.258472587735973e-54,9.775417763207919e-54,0.8667011017403071,320,0,0
severe_burst,avg_aoi,oracle_b,320,1.4650035452118786,2.3097086670003337,-0.8447051217884549,0.019584924937790994,0.0,3.2587055193002605e-54,6.517411038600521e-54,0.8667008450608203,320,0,0
