policy,network,seed,window_start,objective,loss_mean,avg_bandwidth,bandwidth_saving_vs_b3_pct,missed_pct,false_alarm_pct,precision,recall,f1,avg_aoi,max_aoi,fairness,packet_success_pct,constraint_violation_pct,switching_rate_pct,recovery_aoi
fixed_b1,burst,7,0,0.18054179179179183,0.0806118618618619,1.0,66.66666666666667,1.364522417153996,7.619047619047619,0.9656488549618321,0.98635477582846,0.9758919961427194,3.9953286619953285,106,0.9775324480698651,81.38138138138139,1.364522417153996,0.0,9.846153846153847
fixed_b2,burst,7,0,0.15306348014681356,0.05106147814481156,2.0,33.333333333333336,0.8771929824561403,5.185185185185185,0.9764762361977917,0.9912280701754386,0.9837968561064087,1.4668001334668002,43,0.9811926788155502,82.53253253253253,0.8771929824561403,0.0,3.6742424242424243
fixed_b3,burst,7,0,0.14267246413079746,0.0190138054721388,3.0,0.0,0.14619883040935672,4.126984126984127,0.9813218390804598,0.9985380116959064,0.9898550724637681,0.24391057724391058,6,1.0,84.08408408408408,0.14619883040935672,0.0,0.0
aoi_adaptive,burst,7,0,0.15770791624958294,0.07983504337671009,1.3463463463463463,55.12178845512179,1.510721247563353,6.349206349206349,0.9711677078327727,0.9848927875243665,0.9779820953302686,1.601267934601268,14,0.9891268629255333,82.0817843866171,1.510721247563353,36.97394789579158,2.9813084112149535
risk_adaptive,burst,7,0,0.15182057057057058,0.042636386386386387,2.4464464464464464,18.451785118451788,0.5360623781676414,4.973544973544974,0.9774904214559387,0.9946393762183235,0.9859903381642512,0.7550884217550884,16,0.9991545936144552,83.38788870703765,0.5360623781676414,4.609218436873747,1.3121019108280254
burst_adaptive,burst,7,0,0.18634780613947277,0.08724870704037367,1.103103103103103,63.22989656322989,1.4619883040935673,8.465608465608465,0.961941008563273,0.9853801169590644,0.9735194992778045,3.6649983316649983,106,0.9874792852833221,81.21597096188748,1.4619883040935673,6.913827655310621,8.485148514851485
max_aoi,burst,7,0,0.12848390056723394,0.038548965632298995,2.0,33.333333333333336,0.5847953216374269,4.761904761904762,0.9784172661870504,0.9941520467836257,0.9862218999274837,0.662328995662329,14,0.9413793835291787,82.53253253253253,0.5847953216374269,0.0,1.1515151515151516
max_risk,burst,7,0,0.2786336336336338,0.06931931931931948,2.0,33.333333333333336,0.8771929824561403,8.359788359788359,0.9626123994320871,0.9912280701754386,0.9767106842737094,8.620954287620954,127,0.9708695645829473,82.53253253253253,0.8771929824561403,0.0,23.575757575757574
voi_b2,burst,7,0,0.1288498915582249,0.037938980647314,2.0,33.333333333333336,0.5847953216374269,4.338624338624339,0.980297933685728,0.9941520467836257,0.9871763851923542,0.7273940607273941,14,0.9669470131976509,82.53253253253253,0.5847953216374269,0.0,1.5227272727272727
event_triggered,burst,7,0,0.1759682599265933,0.07162892058725394,2.2522522522522523,24.924924924924923,1.4619883040935673,4.656084656084656,0.978702807357212,0.9853801169590644,0.9820301117047111,0.94994994994995,8,0.9996931312343825,83.24444444444444,1.4619883040935673,16.93386773547094,1.1917808219178083
channel_aware,burst,7,0,0.14313667834501165,0.02448802969636302,2.7917917917917916,6.940273606940281,0.1949317738791423,4.867724867724868,0.9780324737344794,0.9980506822612085,0.9879401833092137,0.4651317984651318,14,0.9999580914755104,84.33130154177124,0.1949317738791423,11.823647294589179,1.07909604519774
rabs_h,burst,7,0,0.15659680513847182,0.04967988822155489,2.3983983983983985,20.053386720053382,0.8284600389863548,4.126984126984127,0.9811957569913211,0.9917153996101364,0.9864275327193408,0.7320653987320654,17,0.9978138121602658,83.43071786310517,0.8284600389863548,10.220440881763528,0.8120805369127517
rabs_l,burst,7,0,0.13764577077077098,0.06401714214214234,1.1181181181181181,62.72939606272939,1.2183235867446394,4.761904761904762,0.9782818532818532,0.9878167641325536,0.9830261881668283,1.926926926926927,13,0.9930643272898902,80.75201432408237,1.2183235867446394,15.93186372745491,4.132743362831858
